id;temperatura;distancia;situacao
1;22.00;399.98;SEGURO
2;22.00;399.98;SEGURO
3;22.00;305.97;SEGURO
4;33.31;305.97;SEGURO
5;35.81;305.98;SEGURO
6;35.81;305.98;SEGURO
7;35.81;263.98;SEGURO
8;35.81;254.93;SEGURO
9;35.81;215.95;SEGURO
10;35.81;176.97;SEGURO
11;35.81;130.97;SEGURO
12;35.81;91.99;SEGURO
13;35.81;66.96;SEGURO
14;35.81;66.95;SEGURO
15;49.81;66.96;SEGURO
16;56.19;66.96;SEGURO
17;56.19;66.96;SEGURO
18;56.19;43.94;INSEGURO
19;56.19;43.94;INSEGURO
20;56.19;43.94;INSEGURO
21;44.69;44.00;SEGURO
22;44.69;43.94;SEGURO
23;44.69;43.94;SEGURO
24;44.69;43.94;SEGURO
25;44.69;4.96;INSEGURO
26;44.69;4.96;INSEGURO
27;44.69;4.96;INSEGURO
28;44.69;4.96;INSEGURO
29;44.69;57.95;SEGURO
30;44.69;57.97;SEGURO
31;48.63;57.95;SEGURO
32;48.63;57.95;SEGURO
33;48.63;57.97;SEGURO
34;58.81;57.97;INSEGURO
35;63.88;57.97;INSEGURO
36;63.88;57.97;INSEGURO
37;63.88;260.95;SEGURO
38;63.88;240.96;SEGURO
39;63.88;201.98;SEGURO
40;63.88;178.96;SEGURO
41;63.88;139.96;SEGURO
42;63.88;122.98;SEGURO
43;74.00;122.96;SEGURO
44;75.31;122.96;SEGURO
45;75.31;108.95;SEGURO
46;75.31;108.95;SEGURO
47;88.12;108.95;SEGURO
48;90.62;108.95;SEGURO
49;104.62;108.95;INSEGURO
50;104.62;108.95;INSEGURO
51;104.62;128.96;SEGURO
52;104.62;164.95;SEGURO
53;104.62;170.99;SEGURO
54;112.31;170.93;SEGURO
55;112.31;170.99;SEGURO
56;125.00;170.97;SEGURO
57;125.00;170.95;SEGURO
58;125.00;136.95;INSEGURO
59;125.00;136.95;INSEGURO
60;125.00;136.95;INSEGURO
61;125.00;136.95;INSEGURO
62;83.00;136.99;SEGURO
63;102.12;136.99;SEGURO
64;102.12;136.95;SEGURO
65;102.12;97.97;INSEGURO
66;102.12;111.98;SEGURO
67;102.12;111.94;SEGURO
68;102.12;111.94;SEGURO
69;102.12;111.98;SEGURO
70;102.12;111.98;SEGURO
71;85.50;111.98;SEGURO
72;79.12;111.94;SEGURO
73;79.12;111.98;SEGURO
74;79.12;105.96;SEGURO
75;79.12;102.95;SEGURO
76;79.12;97.97;SEGURO
77;79.12;97.94;SEGURO
78;79.12;83.96;INSEGURO
79;79.12;83.96;INSEGURO
80;79.12;74.97;INSEGURO
81;37.13;74.97;SEGURO
82;53.69;74.97;SEGURO
83;53.69;74.97;SEGURO
84;53.69;74.94;SEGURO
85;53.69;74.97;SEGURO
86;53.69;74.97;SEGURO
87;53.69;74.97;SEGURO
88;53.69;74.97;SEGURO
89;53.69;128.95;SEGURO
90;53.69;128.96;SEGURO
91;53.69;128.96;SEGURO
92;53.69;128.96;SEGURO
93;53.69;88.98;SEGURO
94;53.69;71.98;SEGURO
95;53.69;60.96;SEGURO
96;53.69;60.96;SEGURO
97;53.69;40.97;INSEGURO
98;-127.00;40.97;SEGURO
99;40.88;40.97;SEGURO
100;40.88;40.97;SEGURO
101;46.00;40.97;SEGURO
102;46.00;40.97;SEGURO
103;46.00;32.96;SEGURO
104;46.00;26.96;SEGURO
105;46.00;26.96;SEGURO
106;46.00;1.97;INSEGURO
107;46.00;2.31;INSEGURO
108;46.00;10.00;INSEGURO
109;46.00;21.96;SEGURO
110;46.00;7.99;INSEGURO
111;46.00;15.95;INSEGURO
112;46.00;15.95;INSEGURO
113;46.00;21.96;SEGURO
114;46.00;60.98;SEGURO
115;46.00;91.95;SEGURO
116;56.19;91.95;SEGURO
117;56.19;91.95;SEGURO
118;56.19;77.94;SEGURO
119;56.19;68.95;SEGURO
120;56.19;68.97;SEGURO
121;67.69;68.97;SEGURO
122;67.69;68.97;SEGURO
123;88.12;68.97;INSEGURO
124;-127.00;68.97;SEGURO
125;72.81;68.97;INSEGURO
126;72.81;68.97;INSEGURO
127;72.81;68.97;INSEGURO
128;83.00;68.97;INSEGURO
129;83.00;83.96;INSEGURO
130;83.00;74.97;INSEGURO
131;83.00;74.97;INSEGURO
132;77.87;74.97;INSEGURO
133;77.87;105.94;SEGURO
134;77.87;74.94;INSEGURO
135;77.87;85.99;INSEGURO
136;77.87;108.95;SEGURO
137;77.87;95.00;SEGURO
138;77.87;94.96;SEGURO
139;-127.00;95.00;SEGURO
140;86.81;94.96;SEGURO
141;86.81;94.96;SEGURO
142;94.37;95.00;SEGURO
143;94.37;94.96;SEGURO
144;99.50;94.98;SEGURO
